node,gene,log2FC,pVal,FDR
1,Cab39,3.3593789522108457,0.0,2.3870906139597062e-6
1,Itm2c,2.8216680725362404,0.0,2.3870906139597062e-6
1,Psmd1,3.0985927754112703,0.0,2.3870906139597062e-6
1,Ncl,2.6477388585478376,0.0,2.3870906139597062e-6
1,Ptma,3.4713203565138695,0.0,2.3870906139597062e-6
1,Pde6d,3.9603201136925277,0.0,2.3870906139597062e-6
1,Eif4e2,2.525545145376183,0.0,2.3870906139597062e-6
1,Gigyf2,3.149053603315381,0.0,2.3870906139597062e-6
1,Hjurp,3.0514397129117254,0.0,2.3870906139597062e-6
1,Arl4c,3.5681866038759043,0.0,2.3870906139597062e-6
1,Agap1,3.9833934140202314,0.0,2.3870906139597062e-6
1,Cops8,3.326569065133807,0.0,2.3870906139597062e-6
1,Ilkap,3.7984252766649833,0.0,2.3870906139597062e-6
1,Hes6,5.1896955878127295,0.0,2.3870906139597062e-6
1,Ndufa10,3.2829781972272474,0.0,2.3870906139597062e-6
1,Cops9,3.230722778296488,0.0,2.3870906139597062e-6
1,Kif1a,Infinity,0.0,2.3870906139597062e-6
1,Ppp1r7,2.8254200635516025,0.0,2.3870906139597062e-6
1,Hdlbp,2.339444421486386,0.0,2.3870906139597062e-6
1,Stk25,3.5042595332923376,0.0,2.3870906139597062e-6
1,Dtymk,3.1262963950702263,0.0,2.3870906139597062e-6
1,Ppip5k2,4.446120303730335,0.0,2.3870906139597062e-6
1,Pam,4.590717712016959,0.0,2.3870906139597062e-6
1,Tsn,3.857768314927013,0.0,2.3870906139597062e-6
1,Nifk,3.49100723868845,0.0,2.3870906139597062e-6
1,Clasp1,4.3295744770399525,0.0,2.3870906139597062e-6
1,Dbi,3.041275782288,0.0,2.3870906139597062e-6
2,Xkr4,-4.904101784671931,0.0,2.3870906139597062e-6
2,Atp6v1h,-1.0697356423584645,0.0,2.3870906139597062e-6
2,3110035E14Rik,-Infinity,0.0,2.3870906139597062e-6
2,Sgk3,2.8983379994666607,0.0,2.3870906139597062e-6
2,Sulf1,6.565862995110653,0.0,2.3870906139597062e-6
2,Slco5a1,-4.215818366976786,0.0,2.3870906139597062e-6
2,Tram1,1.5696606308509984,0.0,2.3870906139597062e-6
2,Lactb2,2.1567549302749875,0.0,2.3870906139597062e-6
2,Kcnb2,-4.2912944452936195,0.0,2.3870906139597062e-6
2,Terf1,1.2252145604520415,0.0,2.3870906139597062e-6
2,Stau2,-3.049344706749561,0.0,2.3870906139597062e-6
2,Ube2w,-1.3689936367254134,0.0,2.3870906139597062e-6
2,Gdap1,-Infinity,0.0,2.3870906139597062e-6
2,Mcm3,2.3290604692138634,0.0,2.3870906139597062e-6
2,Paqr8,-3.5845514811741848,0.0,2.3870906139597062e-6
2,Khdc1a,7.640908587117807,0.0,2.3870906139597062e-6
2,Rims1,-5.3929155715991,0.0,2.3870906139597062e-6
2,B3gat2,-4.546170996912415,0.0,2.3870906139597062e-6
2,Adgrb3,-6.0023677424310415,0.0,2.3870906139597062e-6
2,Khdrbs2,-6.76839533203376,0.0,2.3870906139597062e-6
2,Zfp451,-1.375299744460035,0.0,2.3870906139597062e-6
2,Bend6,-4.873871768033044,0.0,2.3870906139597062e-6
2,Dst,-0.2469410802856531,0.0,2.3870906139597062e-6
2,Ptpn18,5.9649343506397585,0.0,2.3870906139597062e-6
2,Amer3,-Infinity,0.0,2.3870906139597062e-6
2,Fam168b,-1.079021774540678,0.0,2.3870906139597062e-6
2,Arid5a,4.208833287832028,0.0,2.3870906139597062e-6
2,Sema4c,-1.8490679863491466,0.0,2.3870906139597062e-6
2,Zap70,6.041291810413029,0.0,2.3870906139597062e-6
2,Inpp4a,-1.9509629079271678,0.0,2.3870906139597062e-6
2,Mgat4a,2.1070795586766002,0.0,2.3870906139597062e-6
2,2010300C02Rik,4.376411925978738,0.0,2.3870906139597062e-6
2,Tsga10,-2.010693607867643,0.0,2.3870906139597062e-6
2,Aff3,-1.5229503962532613,0.0,2.3870906139597062e-6
2,Gm16152,-2.8914378314162743,0.0,2.3870906139597062e-6
2,Lonrf2,-5.640888201739988,0.0,2.3870906139597062e-6
2,Chst10,-2.121904586620492,0.0,2.3870906139597062e-6
2,Map4k4,-0.9953535545457458,0.0,2.3870906139597062e-6
2,Il1r1,4.753521213349083,0.0,2.3870906139597062e-6
2,Gm29260,-Infinity,0.0,2.3870906139597062e-6
2,Gm28175,-Infinity,0.0,2.3870906139597062e-6
2,Pantr1,-8.112138551207808,0.0,2.3870906139597062e-6
2,Pou3f3,-9.871450342206206,0.0,2.3870906139597062e-6
2,Gpr45,-5.1722550302583805,0.0,2.3870906139597062e-6
2,Nck2,1.326379385086476,0.0,2.3870906139597062e-6
2,Col3a1,4.905164544359741,0.0,2.3870906139597062e-6
2,Cavin2,3.432114346010062,0.0,2.3870906139597062e-6
2,Nabp1,4.220281853443713,0.0,2.3870906139597062e-6
2,Myo1b,-0.9956878488656917,0.0,2.3870906139597062e-6
2,Stat4,7.5023700251525645,0.0,2.3870906139597062e-6
2,Stat1,4.180088211807515,0.0,2.3870906139597062e-6
2,Gls,0.9114219440821411,0.0,2.3870906139597062e-6
2,Stk17b,4.238703688131627,0.0,2.3870906139597062e-6
2,Pgap1,-3.228589731881087,0.0,2.3870906139597062e-6
2,Ankrd44,0.9944566134190048,0.0,2.3870906139597062e-6
2,Mob4,-0.7079367900999545,0.0,2.3870906139597062e-6
2,Satb2,-8.038565109778334,0.0,2.3870906139597062e-6
2,Sgo2a,2.0020917373453933,0.0,2.3870906139597062e-6
2,Clk1,1.4079257846820263,0.0,2.3870906139597062e-6
2,Cflar,2.033562853191221,0.0,2.3870906139597062e-6
2,Casp8,3.9989047275748524,0.0,2.3870906139597062e-6
2,Stradb,-1.514818368545813,0.0,2.3870906139597062e-6
2,Gm29017,7.425390387180245,0.0,2.3870906139597062e-6
2,Abi2,-1.5335444511509897,0.0,2.3870906139597062e-6
2,Cd28,6.407131955657985,0.0,2.3870906139597062e-6
2,Ctla4,8.179148315997669,0.0,2.3870906139597062e-6
2,Adam23,-2.2845609904846698,0.0,2.3870906139597062e-6
2,Klf7,-1.0754918696370317,0.0,2.3870906139597062e-6
2,Fzd5,3.934909765573242,0.0,2.3870906139597062e-6
2,Idh1,-2.761827921117947,0.0,2.3870906139597062e-6
2,Map2,-6.446674851667896,0.0,2.3870906139597062e-6
2,Acadl,3.266389237043273,0.0,2.3870906139597062e-6
2,Lancl1,-0.8994423547529694,0.0,2.3870906139597062e-6
2,Ikzf2,3.0892213321966984,0.0,2.3870906139597062e-6
2,Fn1,2.94659167433736,0.0,2.3870906139597062e-6
2,Tmem169,-2.3730610332043978,0.0,2.3870906139597062e-6
2,March4,-6.253721440270479,0.0,2.3870906139597062e-6
2,Igfbp2,-1.8025337344131713,0.0,2.3870906139597062e-6
2,Tns1,3.8403886617684373,0.0,2.3870906139597062e-6
2,Ctdsp1,1.889021175315802,0.0,2.3870906139597062e-6
2,Cdk5r2,-Infinity,0.0,2.3870906139597062e-6
2,Tuba4a,2.855196446786837,0.0,2.3870906139597062e-6
2,Des,10.097597743201854,0.0,2.3870906139597062e-6
2,Tmem198,-5.1950311567258645,0.0,2.3870906139597062e-6
2,Inha,-2.699356501174309,0.0,2.3870906139597062e-6
2,Slc4a3,-2.3575106961314125,0.0,2.3870906139597062e-6
2,Epha4,-3.8357622698254232,0.0,2.3870906139597062e-6
2,Utp14b,2.703804719901319,0.0,2.3870906139597062e-6
2,Dock10,4.203436877583112,0.0,2.3870906139597062e-6
2,Nyap2,-5.7972463514427135,0.0,2.3870906139597062e-6
2,Mff,-1.275564021146783,0.0,2.3870906139597062e-6
2,Dner,-6.811904799508227,0.0,2.3870906139597062e-6
2,Sp110,6.164826116975126,0.0,2.3870906139597062e-6
2,Sp140,7.411396021909042,0.0,2.3870906139597062e-6
2,Sp100,5.8578356058490835,0.0,2.3870906139597062e-6
2,A630001G21Rik,5.364884545772263,0.0,2.3870906139597062e-6
2,Armc9,-1.8797744406149695,0.0,2.3870906139597062e-6
2,Inpp5d,4.9140715920616245,0.0,2.3870906139597062e-6
2,Agap1,-1.7223534771404665,0.0,2.3870906139597062e-6
2,Col6a3,5.52378305700325,0.0,2.3870906139597062e-6
3,Atp6v1h,-0.9961209411696194,0.0,2.3870906139597062e-6
3,Sgk3,2.8518195278026646,0.0,2.3870906139597062e-6
3,Slco5a1,-3.8832882318204214,0.0,2.3870906139597062e-6
3,Tram1,1.056669359788257,0.0,2.3870906139597062e-6
3,Kcnb2,-5.145426108469732,0.0,2.3870906139597062e-6
3,Terf1,1.4063185748780997,0.0,2.3870906139597062e-6
3,Stau2,-3.969256134991154,0.0,2.3870906139597062e-6
3,Ube2w,-1.4543183289012331,0.0,2.3870906139597062e-6
3,Gdap1,-Infinity,0.0,2.3870906139597062e-6
3,Mcm3,2.4340436871575393,0.0,2.3870906139597062e-6
3,Paqr8,-4.487786114531943,0.0,2.3870906139597062e-6
3,Khdc1a,8.103285823107424,0.0,2.3870906139597062e-6
3,Rims1,-7.68687231330274,0.0,2.3870906139597062e-6
3,Fam135a,-2.344707844332471,0.0,2.3870906139597062e-6
3,Adgrb3,-7.287443026623486,0.0,2.3870906139597062e-6
3,Khdrbs2,-6.711528674979025,0.0,2.3870906139597062e-6
3,Zfp451,-1.1893211194317002,0.0,2.3870906139597062e-6
3,Bend6,-5.666356474819088,0.0,2.3870906139597062e-6
3,Dst,-0.9825604831373752,0.0,2.3870906139597062e-6
3,Ptpn18,5.818773004135127,0.0,2.3870906139597062e-6
3,Amer3,-Infinity,0.0,2.3870906139597062e-6
3,Fam168b,-0.9704986777613335,0.0,2.3870906139597062e-6
3,Arid5a,2.5270301286846704,0.0,2.3870906139597062e-6
3,Sema4c,-1.8348511446827331,0.0,2.3870906139597062e-6
3,Zap70,5.644454079716365,0.0,2.3870906139597062e-6
3,Inpp4a,-2.0079415196894814,0.0,2.3870906139597062e-6
3,Mgat4a,2.3125174576286223,0.0,2.3870906139597062e-6
3,Gm16152,-2.475392318568066,0.0,2.3870906139597062e-6
3,Lonrf2,-5.789175739296632,0.0,2.3870906139597062e-6
3,Chst10,-1.6972099761429038,0.0,2.3870906139597062e-6
3,Pdcl3,-0.9023064888373853,0.0,2.3870906139597062e-6
3,Map4k4,-0.9461998640937301,0.0,2.3870906139597062e-6
3,Gm29260,-Infinity,0.0,2.3870906139597062e-6
3,Pantr1,-7.649761315218188,0.0,2.3870906139597062e-6
3,Pou3f3,-9.409073106216587,0.0,2.3870906139597062e-6
3,Gpr45,-4.908513819465958,0.0,2.3870906139597062e-6
3,Nck2,1.4928402505081502,0.0,2.3870906139597062e-6
3,Gm8251,4.1185078473692,0.0,2.3870906139597062e-6
3,Nabp1,3.372014794262382,0.0,2.3870906139597062e-6
3,Myo1b,-1.2014976419387189,0.0,2.3870906139597062e-6
3,Stat4,6.27929251291627,0.0,2.3870906139597062e-6
