cluster,modularity,size
71,1.05165051782901e-3/8.973898890159399e-3/2.4843909104716178e-2/1.5209104086882695e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,6/23/52/120/142/387/755/926/2125/2312
72,8.973898890159399e-3/2.4843909104716178e-2/1.5209104086882695e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,29/52/120/142/387/755/926/2125/2312
76,8.608021785368486e-3/2.261230118025434e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,25/47/121/245/387/755/926/2125/2312
77,8.608021785368486e-3/2.261230118025434e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,22/47/121/245/387/755/926/2125/2312
80,1.731714666350026e-3/7.230785309660939e-3/2.261230118025434e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,22/46/74/121/245/387/755/926/2125/2312
81,1.731714666350026e-3/7.230785309660939e-3/2.261230118025434e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,24/46/74/121/245/387/755/926/2125/2312
82,7.230785309660939e-3/2.261230118025434e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,28/74/121/245/387/755/926/2125/2312
86,1.3338472898071496e-3/1.0467836641893796e-2/2.593978931799021e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,14/27/57/124/245/387/755/926/2125/2312
87,1.3338472898071496e-3/1.0467836641893796e-2/2.593978931799021e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,13/27/57/124/245/387/755/926/2125/2312
88,1.0467836641893796e-2/2.593978931799021e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,30/57/124/245/387/755/926/2125/2312
90,4.824807448935042e-3/2.593978931799021e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,29/67/124/245/387/755/926/2125/2312
92,3.2715317220349815e-5/4.824807448935042e-3/2.593978931799021e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,15/38/67/124/245/387/755/926/2125/2312
93,3.2715317220349815e-5/4.824807448935042e-3/2.593978931799021e-2/3.266767690216185e-2/4.3813629562574605e-2/0.10194495128801132/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,23/38/67/124/245/387/755/926/2125/2312
98,1.716187097540972e-2/2.331119720220584e-2/0.15881427050680086/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,13/19/50/90/171/926/2125/2312
99,1.716187097540972e-2/2.331119720220584e-2/0.15881427050680086/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,6/19/50/90/171/926/2125/2312
100,2.331119720220584e-2/0.15881427050680086/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,31/50/90/171/926/2125/2312
104,2.8708813774984757e-2/6.80195783960513e-2/0.11033202495391689/0.15881427050680086/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,4/10/16/40/90/171/926/2125/2312
105,2.8708813774984757e-2/6.80195783960513e-2/0.11033202495391689/0.15881427050680086/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,6/10/16/40/90/171/926/2125/2312
106,6.80195783960513e-2/0.11033202495391689/0.15881427050680086/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,6/16/40/90/171/926/2125/2312
108,6.369472540176233e-2/0.11033202495391689/0.15881427050680086/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,11/24/40/90/171/926/2125/2312
109,6.369472540176233e-2/0.11033202495391689/0.15881427050680086/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,13/24/40/90/171/926/2125/2312
113,0.18089523658867124/0.10075596834586334/8.186073414914646e-2/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,6/9/24/81/171/926/2125/2312
114,0.18089523658867124/0.10075596834586334/8.186073414914646e-2/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,3/9/24/81/171/926/2125/2312
115,0.10075596834586334/8.186073414914646e-2/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,15/24/81/171/926/2125/2312
117,4.4678023999809774e-2/8.186073414914646e-2/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,26/57/81/171/926/2125/2312
119,1.6773986410851982e-2/4.4678023999809774e-2/8.186073414914646e-2/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,9/31/57/81/171/926/2125/2312
120,1.6773986410851982e-2/4.4678023999809774e-2/8.186073414914646e-2/0.4096128761852006/6.924539911661129e-2/0.15375766285354642/5.972810594217861e-2,22/31/57/81/171/926/2125/2312
126,7.0073062495815686e-3/8.66090623397986e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,54/133/249/479/897/1199/2125/2312
128,3.88878519319924e-3/7.0073062495815686e-3/8.66090623397986e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,57/79/133/249/479/897/1199/2125/2312
129,3.88878519319924e-3/7.0073062495815686e-3/8.66090623397986e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,22/79/133/249/479/897/1199/2125/2312
132,3.4752701597393076e-4/5.558517795733381e-3/8.66090623397986e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,35/62/116/249/479/897/1199/2125/2312
133,3.4752701597393076e-4/5.558517795733381e-3/8.66090623397986e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,27/62/116/249/479/897/1199/2125/2312
134,5.558517795733381e-3/8.66090623397986e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,54/116/249/479/897/1199/2125/2312
137,4.356861536847556e-3/6.701699831279995e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,62/129/230/479/897/1199/2125/2312
138,4.356861536847556e-3/6.701699831279995e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,67/129/230/479/897/1199/2125/2312
141,7.258856317657492e-3/4.87288234415062e-3/6.701699831279995e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,30/36/101/230/479/897/1199/2125/2312
143,2.7023147849196405e-2/7.258856317657492e-3/4.87288234415062e-3/6.701699831279995e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,3/6/36/101/230/479/897/1199/2125/2312
144,2.7023147849196405e-2/7.258856317657492e-3/4.87288234415062e-3/6.701699831279995e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,3/6/36/101/230/479/897/1199/2125/2312
146,1.0712297141374144e-2/4.87288234415062e-3/6.701699831279995e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,29/65/101/230/479/897/1199/2125/2312
147,1.0712297141374144e-2/4.87288234415062e-3/6.701699831279995e-3/1.795749559691881e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,36/65/101/230/479/897/1199/2125/2312
152,1.6336986906185264e-2/7.266605632444995e-3/3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,11/29/119/217/418/897/1199/2125/2312
153,1.6336986906185264e-2/7.266605632444995e-3/3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,18/29/119/217/418/897/1199/2125/2312
156,1.169688615458922e-3/9.672871885546386e-3/7.266605632444995e-3/3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,11/36/90/119/217/418/897/1199/2125/2312
157,1.169688615458922e-3/9.672871885546386e-3/7.266605632444995e-3/3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,25/36/90/119/217/418/897/1199/2125/2312
159,4.54378187077803e-4/9.672871885546386e-3/7.266605632444995e-3/3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,25/54/90/119/217/418/897/1199/2125/2312
160,4.54378187077803e-4/9.672871885546386e-3/7.266605632444995e-3/3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,29/54/90/119/217/418/897/1199/2125/2312
163,4.511902581941429e-2/3.497594384928279e-2/3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,34/69/98/217/418/897/1199/2125/2312
166,9.548967545901926e-3/1.4239225094996755e-2/4.511902581941429e-2/3.497594384928279e-2/3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,7/17/35/69/98/217/418/897/1199/2125/2312
167,9.548967545901926e-3/1.4239225094996755e-2/4.511902581941429e-2/3.497594384928279e-2/3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,10/17/35/69/98/217/418/897/1199/2125/2312
168,1.4239225094996755e-2/4.511902581941429e-2/3.497594384928279e-2/3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,18/35/69/98/217/418/897/1199/2125/2312
171,1.3010625181199473e-2/0.10092593587422419/3.497594384928279e-2/3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,12/14/29/98/217/418/897/1199/2125/2312
172,1.3010625181199473e-2/0.10092593587422419/3.497594384928279e-2/3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,2/14/29/98/217/418/897/1199/2125/2312
173,0.10092593587422419/3.497594384928279e-2/3.9304492683655434e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,15/29/98/217/418/897/1199/2125/2312
178,3.8813324198240517e-3/1.6369316211455626e-2/5.388077370517433e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,17/30/60/103/201/418/897/1199/2125/2312
179,3.8813324198240517e-3/1.6369316211455626e-2/5.388077370517433e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,13/30/60/103/201/418/897/1199/2125/2312
182,8.874856650590568e-4/3.313603770151153e-3/1.6369316211455626e-2/5.388077370517433e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,13/26/30/60/103/201/418/897/1199/2125/2312
183,8.874856650590568e-4/3.313603770151153e-3/1.6369316211455626e-2/5.388077370517433e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,13/26/30/60/103/201/418/897/1199/2125/2312
184,3.313603770151153e-3/1.6369316211455626e-2/5.388077370517433e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,4/30/60/103/201/418/897/1199/2125/2312
187,1.7340391280943418e-2/2.2560337035997052e-2/5.388077370517433e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,11/18/43/103/201/418/897/1199/2125/2312
188,1.7340391280943418e-2/2.2560337035997052e-2/5.388077370517433e-2/4.186715594730814e-2/5.4767106281471245e-2/3.8516221786502464e-2/3.0948228789399804e-2/0.15375766285354642/5.972810594217861e-2,7/18/43/103/201/418/897/1199/2125/2312
